episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m
82,0.0,37.4,timeout,,,,,,,,-22.5,-0.11
83,0.0,40.1,timeout,,,,,,,,33.6,-0.44
84,0.0,40.1,collision,,,17.0,static.static,-12.53,-0.11,1.89,-29.4,0.17
85,0.0,36.9,timeout,,,,,,,,14.8,-0.37
86,0.0,40.2,timeout,,,,,,,,-11.5,-1.35
87,0.0,39.7,timeout,,,,,,,,20.3,1.59
88,0.0,37.7,collision,,,22.6,static.vegetation,-1.69,-0.12,0.18,-6.9,0.23
89,0.0,30.3,out_of_bounds,,,,,,,,-2.3,1.25
90,0.0,40.2,collision,,,42.4,static.vegetation,-36.77,-0.8,0.9,38.8,-0.8
91,0.0,36.0,collision,,,30.1,static.static,-1.43,0.63,1.12,-38.9,0.07
92,0.0,40.0,timeout,,,,,,,,-32.4,1.9
93,0.0,37.0,timeout,,,,,,,,-39.5,-1.41
94,0.0,40.2,collision,,,39.4,static.vegetation,-35.72,-0.64,0.55,-16.1,-1.04
95,0.0,36.8,parked,1.04,0.15,-1.8,,,,,25.8,0.46
96,0.0,43.1,out_of_bounds,,,,,,,,-6.6,-1.2
97,0.0,40.2,timeout,,,,,,,,32.5,-1.62
98,0.0,34.7,timeout,,,,,,,,-29.5,1.29
99,0.0,42.4,out_of_bounds,,,,,,,,14.5,-0.78
100,0.0,36.0,timeout,,,,,,,,8.2,-1.65
