episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard
1,0.0,22.2,parked,1.06,0.15,1.9,,,,,2.7,0.0,1,0,behind2
2,0.0,20.6,parked,1.08,0.15,1.9,,,,,2.3,0.0,1,0,behind2
3,0.0,22.2,parked,1.11,0.16,1.7,,,,,1.7,0.0,1,0,behind2
4,0.0,22.2,parked,1.11,0.16,1.7,,,,,1.5,0.0,1,0,behind2
5,0.0,20.9,parked,1.11,0.16,1.7,,,,,0.7,0.0,1,0,behind2
6,0.0,22.2,parked,1.04,0.16,1.6,,,,,-0.3,0.0,1,0,behind2
7,0.0,22.2,parked,1.1,0.15,1.8,,,,,-1.7,0.0,1,0,behind2
8,0.0,22.2,parked,1.12,0.16,1.8,,,,,1.8,0.0,1,0,behind2
9,0.0,21.1,parked,1.02,0.15,2.0,,,,,1.3,0.0,1,0,behind2
10,0.0,22.2,parked,1.05,0.15,1.9,,,,,-1.3,0.0,1,0,behind2
11,0.0,22.1,parked,1.11,0.15,1.8,,,,,-1.1,0.0,1,0,behind2
12,0.0,22.5,parked,1.11,0.16,1.7,,,,,-0.5,0.0,1,0,behind2
13,0.0,22.2,parked,1.05,0.16,1.6,,,,,-0.0,0.0,1,0,behind2
14,0.0,22.2,parked,1.05,0.15,1.9,,,,,-0.6,0.0,1,0,behind2
15,0.0,22.2,parked,1.06,0.16,1.7,,,,,0.4,0.0,1,0,behind2
16,0.0,22.2,collision,,,9.1,vehicle.nissan.patrol_2021,-12.44,-2.14,2.67,0.5,0.0,1,0,behind2
17,0.0,20.8,parked,1.1,0.15,1.8,,,,,2.8,0.0,1,0,behind2
18,0.0,20.6,parked,1.08,0.16,1.7,,,,,1.3,0.0,1,0,behind2
19,0.0,22.2,parked,1.11,0.16,1.7,,,,,2.3,0.0,1,0,behind2
20,0.0,22.0,parked,1.06,0.16,1.7,,,,,1.0,0.0,1,0,behind2
21,0.0,22.2,parked,1.05,0.16,1.8,,,,,-1.5,0.0,1,0,behind2
22,0.0,22.2,parked,1.05,0.15,1.9,,,,,0.3,0.0,1,0,behind2
23,0.0,22.2,parked,1.08,0.16,1.8,,,,,1.8,0.0,1,0,behind2
24,0.0,21.7,parked,1.12,0.16,1.7,,,,,2.0,0.0,1,0,behind2
25,0.0,23.0,parked,1.1,0.15,1.8,,,,,1.8,0.0,1,0,behind2
26,0.0,21.7,parked,1.12,0.16,1.8,,,,,-1.4,0.0,1,0,behind2
27,0.0,22.2,parked,1.11,0.16,1.7,,,,,1.8,0.0,1,0,behind2
28,0.0,22.1,parked,1.12,0.15,1.8,,,,,2.0,0.0,1,0,behind2
29,0.0,22.2,parked,1.06,0.15,2.0,,,,,-0.4,0.0,1,0,behind2
30,0.0,22.2,parked,1.1,0.17,1.5,,,,,-1.4,0.0,1,0,behind2
